,Title,Links 
40,Epilepsy in autism.,https://pubmed.ncbi.nlm.nih.gov/12849396/
41,[Autism of unknown aetiology].,https://pubmed.ncbi.nlm.nih.gov/12938058/
42,Childhood autism and associated comorbidities.,https://pubmed.ncbi.nlm.nih.gov/17084999/
43,Low endogenous neural noise in autism.,https://pubmed.ncbi.nlm.nih.gov/25248666/
44,Autism: understanding conceptual processing deficits.,https://pubmed.ncbi.nlm.nih.gov/15884475/
45,Autism - 25 years on: A lot has changed!,https://pubmed.ncbi.nlm.nih.gov/32536206/
46,Autism: making reasonable adjustments in healthcare.,https://pubmed.ncbi.nlm.nih.gov/34983215/
47,Editorial: Autism - Hype and Hope.,https://pubmed.ncbi.nlm.nih.gov/27873154/
48,New developments in autism.,https://pubmed.ncbi.nlm.nih.gov/19248913/
49,Neurobiology of autism.,https://pubmed.ncbi.nlm.nih.gov/9450763/
50,Autism spectrum disorders: developmental disconnection syndromes.,https://pubmed.ncbi.nlm.nih.gov/17275283/
51,Autism: fifty years on from Kanner.,https://pubmed.ncbi.nlm.nih.gov/8198840/
52,Autism: a target of pharmacotherapies?,https://pubmed.ncbi.nlm.nih.gov/15081964/
53,Autism research: prospects and priorities.,https://pubmed.ncbi.nlm.nih.gov/8744496/
54,Autism and pervasive developmental disorders.,https://pubmed.ncbi.nlm.nih.gov/8493066/
55,"Androgens, autism and more.",https://pubmed.ncbi.nlm.nih.gov/20097217/
56,Autism: recognising the signs in young children.,https://pubmed.ncbi.nlm.nih.gov/10197015/
57,Understanding autism--a work in progress.,https://pubmed.ncbi.nlm.nih.gov/10212550/
58,Autism and pervasive developmental disorders.,https://pubmed.ncbi.nlm.nih.gov/2179250/
59,Autism and the pervasive developmental disorders.,https://pubmed.ncbi.nlm.nih.gov/10226747/
60,[Autism and pervasive developmental disorders].,https://pubmed.ncbi.nlm.nih.gov/15154076/
61,Autism today: Have we put the cart before the horse?,https://pubmed.ncbi.nlm.nih.gov/28275082/
62,Autism: a review of the state of the science for pediatric primary health care clinicians.,https://pubmed.ncbi.nlm.nih.gov/17088521/
63,[Autism: toward a necessary cultural revolution].,https://pubmed.ncbi.nlm.nih.gov/14648487/
64,Autism: research into causes and intervention.,https://pubmed.ncbi.nlm.nih.gov/15204577/
65,Autism and autism spectrum disorders: diagnostic issues for the coming decade.,https://pubmed.ncbi.nlm.nih.gov/19220594/
66,Autism: an emerging public health problem.,https://pubmed.ncbi.nlm.nih.gov/12941851/
67,Nutritional management of (some) autism: a case for gluten- and casein-free diets?,https://pubmed.ncbi.nlm.nih.gov/25311313/
68,Infantile autism.,https://pubmed.ncbi.nlm.nih.gov/3716967/
69,Autism [editorial].,https://pubmed.ncbi.nlm.nih.gov/12449259/
70,Immune dysfunction in autism: a pathway to treatment.,https://pubmed.ncbi.nlm.nih.gov/20643381/
71,Childhood autism.,https://pubmed.ncbi.nlm.nih.gov/4692179/
72,Childhood autism.,https://pubmed.ncbi.nlm.nih.gov/5440244/
73,Autism: its primary psychological and neurological deficit.,https://pubmed.ncbi.nlm.nih.gov/1773407/
74,The canonical Wnt signaling pathway in autism.,https://pubmed.ncbi.nlm.nih.gov/24365182/
75,Diagnosing young children with autism.,https://pubmed.ncbi.nlm.nih.gov/24603281/
76,What's new in autism?,https://pubmed.ncbi.nlm.nih.gov/18597114/
77,Hard talk: Does autism need philosophy?,https://pubmed.ncbi.nlm.nih.gov/30354189/
78,Autism and familial major mood disorder: are they related?,https://pubmed.ncbi.nlm.nih.gov/15260372/
79,Autism: current theories regarding its pathogenesis and implications for rational pharmacotherapy.,https://pubmed.ncbi.nlm.nih.gov/10937459/
80,Autism in Jamaica.,https://pubmed.ncbi.nlm.nih.gov/9619089/
81,Understanding autism and related disorders: what has imaging taught us?,https://pubmed.ncbi.nlm.nih.gov/17983966/
82,Autism and the environment.,https://pubmed.ncbi.nlm.nih.gov/16835036/
83,"Autism: the aetiology, management and implications for treatment modalities from the dental perspective.",https://pubmed.ncbi.nlm.nih.gov/16610261/
84,"Autism: its recognition, early diagnosis, and service implications.",https://pubmed.ncbi.nlm.nih.gov/16685186/
85,"Autism spectrum disorder: screening, diagnosis, and medical evaluation.",https://pubmed.ncbi.nlm.nih.gov/15575413/
86,Challenges to autism research.,https://pubmed.ncbi.nlm.nih.gov/16260809/
87,Childhood autism. A review of the clinical and experimental literature.,https://pubmed.ncbi.nlm.nih.gov/4120820/
88,[Neuropediatric approach to autism].,https://pubmed.ncbi.nlm.nih.gov/16219450/
89,Adult autism spectrum as a transnosographic dimension.,https://pubmed.ncbi.nlm.nih.gov/26349624/
90,Is autism reversible?,https://pubmed.ncbi.nlm.nih.gov/19843021/
91,Progress in understanding autism: 2007-2010.,https://pubmed.ncbi.nlm.nih.gov/21318644/
92,What is autism?,https://pubmed.ncbi.nlm.nih.gov/19719002/
93,Changing concepts and findings on autism.,https://pubmed.ncbi.nlm.nih.gov/23359217/
94,Identification of autism in cognitively able adults with epilepsy: A narrative review and discussion of available screening and diagnostic tools.,https://pubmed.ncbi.nlm.nih.gov/36442428/
95,"A brief history of autism, the autism/vaccine hypothesis and a review of the genetic basis of autism spectrum disorders.",https://pubmed.ncbi.nlm.nih.gov/23444593/
96,Autism: a large unmet medical need and a complex research problem.,https://pubmed.ncbi.nlm.nih.gov/12954440/
97,"A new era for autism research, and for our journal.",https://pubmed.ncbi.nlm.nih.gov/29369697/
98,The effectiveness of secretin in the management of autism.,https://pubmed.ncbi.nlm.nih.gov/14996634/
99,[Infantile autism].,https://pubmed.ncbi.nlm.nih.gov/759159/
100,Time to give up on a single explanation for autism.,https://pubmed.ncbi.nlm.nih.gov/17001340/
